gene	PAPmneg1	PAPmneg2	PAPmpos1	PAPmpos2	SCCmneg1	SCCmneg2	SCCmpos1	SCCmpos2
AC107638.1	2.13	0	4.328	4.354	1.057	1.042	0	0
AC107645.1	0	0	0	0	0	0	2	0
AC107663.1	0	0	0	0	0	0	2	0
AC107663.2	0	0	0	0	0	0	0	0
AC107663.3	0	0	0	0	0	0	0	0
AC107711.1	0	0	1	0	2	0	0	0
AC107711.2	0	0	0	0	0	0	0	0
AC107711.3	0	0	0	0	0	0	0	0
AC107711.4	0	0	0	0	2	0	0	0
AC107711.5	0	0	0	2.582	0	0	1.182	1.18
AC107711.6	0	0	0	0	0	0	0	0
AC107740.1	0	0	0	0	0	0	0	0
AC107742.1	0	0	2	0	0	0	0	0
AC107752.1	0	0	0	0	0	0	0	0
AC107757.1	0	0	0	0	0	0	0	0
AC107757.2	17.759	11.231	4.756	15.076	5.844	7.419	13.015	8.108
AC107757.3	0	0	0	0	0	0	0	0
AC107763.1	0	0	0	0	0	0	0	2
AC107808.1	0	0	0	0	0	0	0	0
AC107808.2	0	0	0	0	0	0	0	0
AC107851.1	2	4	0	3	2	2	0	1
AC107864.1	0	0	0	0	0	0	0	0
AC108401.1	0	0	0	0	0	0	0	0
AC108401.2	0	0	1	0	0	0	0	0
AC108416.1	0	0	0	0	0	0	0	0
AC108416.2	0	0	0	0	0	0	0	0
AC108416.3	0	0	0	0	0	0	0	0
AC108437.1	2.758	0	1.286	7.063	0	0	0	0
AC108802.1	2	0	0	0	1	0	0	0
AC108846.1	2	5	4	2	16	6	15	5
AC108846.2	0	0	0	0	0	0	1	0
AC108846.3	4	2	19	4	5	8	8	10
AC108846.4	0	0	0	0	0	0	0	0
AC108858.1	6.037	4.632	3.148	12.521	0	1.117	3.566	3.822
AC108858.2	6.034	1.146	0	1.124	3.541	0	0	1.127
AC108945.1	0	0	0	0	0	0	0	0
AC108947.1	0	1	0	1	0	1	1	0
AC109172.1	0	0	0	0	0	0	0	0
AC109172.2	0	0	0	0	0	0	0	0
AC109180.1	0	1	0	0	0	0	0	0
AC109212.1	0	0	0	0	0	0	0	0
AC109214.1	0	0	0	0	0	0	1	1
AC109214.2	0	0	0	0	0	0	0	0
AC110043.1	0	0	0	0	1	0	0	0
AC110091.1	0	0	0	0	0	0	0	0
AC110091.2	0	0	2.31	0	0	0	0	0
AC110091.3	0	0	0	0	0	0	0	0
AC110176.1	0	0	0	0	0	0	0	0
AC110236.1	0	0	0	0	0	0	0	0
AC110380.1	0	0	0	0	0	0	0	0
AC110381.1	0	0	0	0	0	0	0	0
AC110816.1	0	0	1.025	0	0	0	3	1
AC110816.2	0	0	0	0	0	0	0	0
AC110817.1	46.016	34.867	69.237	33.129	42.098	53.959	39.677	96.921
AC111010.1	0	0	0	0	0	0	0	0
AC111044.1	0	0	0	0	0	0	0	0
AC111046.1	0.976	0	0	1.423	0	3.444	1.038	1.476
AC111092.1	0	0	0	0	0	0	0	0
AC112142.1	33.001	17.999	45	33.322	25	13	48	28
AC112146.1	0	0	0	0	0	0	0	0
AC112157.1	0	0	0	0	0	0	0	0
AC112259.1	0	0	0	0	0	0	0	0
AC112265.1	2.066	2.01	4	0	1.475	2.083	3.703	1
AC112274.1	0	0	1	6	1	1	1	0
AC112274.2	0	0	0	0	0	0	0	0
AC112680.1	2	0	0	0	0	0	0	0
AC112680.2	0	1	1	2	0	0	0	2
AC112680.3	0	0	3	0	0	0	0	0
AC112935.1	0	1	0	0	0	0	0	0
AC112945.1	2.32	1.115	2.968	2.317	12.551	3.605	3.483	4.832
AC112956.1	0	0	0	0	0	0	0	1.262
AC112972.1	0	0	0	0	0	0	0	0
AC112972.2	0	0	0	0	0	0	0	0
AC113031.1	0	0	0	0	0	0	0	0
AC113031.2	0	0	0	0	0	0	0	0
AC113031.3	0	0	0	0	0	0	0	0
AC113031.4	0	0	0	0	0	0	0	0
AC113031.5	0	0	0	0	0	0	0	0
AC113031.6	0	0	0	0	0	0	0	0
AC113031.7	0	0	0	0	0	1	0	0
AC113031.8	0	0	0	0	0	0	0	0
AC113059.1	0	0	0	0	0	4.045	10.925	0
AC113059.2	5	1	8	5	8	5.186	2	9
AC113059.3	0	0	0	0	0	0	0	0
AC113060.1	20.531	15.524	0	8.861	0	5.701	0	0
AC113082.1	0	0	0	0	0	0	0	0
AC113082.2	0	0	0	0	0	0	0	0
AC113107.1	0	0	0	0	0	0	0	0
AC113125.1	0	0	0	0	0	0	0	0
AC113125.2	0	0	0	0	0	0	0	0
AC113178.1	130.914	134.755	129.417	159.323	334.309	203.333	355.097	223.818
AC113198.1	0	0	0	0	0	0	0	0
AC113204.1	0	0	0	0	0	0	0	0
AC113269.1	0	0	0	0	0	0	0	0
AC113282.1	3.839	1.178	0	0	0	0	1.315	0
AC113282.2	0	0	0	0	0	5.312	0	0
AC113282.3	0	0	1	0	0	0	0	0
AC113282.4	6.161	2	2	0	1	0	0	0
AC113282.5	0	3.822	2	2	1	5.688	6.685	4
AC113291.1	1	0	0	0	0	0	0	0
AC113291.2	0	0	0	0	0	0	0	0
AC113304.1	0	0	0	0	0	0	0	0
AC113305.1	1	0	0	0	0	0	0	1
AC113441.1	0	0	0	0	0	0	0	0
AC113441.2	0	3	0	2	1	0	1	1
AC114002.1	0	0	0	0	0	0	0	0
AC114008.1	1.821	0	2.649	1.022	0	0	1.128	2.384
AC114008.2	1.126	3.593	0	0	0	1.12	3.547	2.345
AC114010.1	0	0	0	0	0	0	0	0
AC114543.1	0	0	0	0	0	0	0	0
AC114572.1	0	0	0	0	0	0	0	0
AC114573.1	0	0	0	0	0	0	0	0
AC114575.1	3	0	4	0	2	0	0	1
AC114585.1	3	0	0	0	0	1	0	0
AC114585.2	2	0	1	0	4	0	3	0
AC114645.1	0	0	0	0	1	0	2	1
AC114645.2	1.02	3.08	3.055	1.048	1.022	3.053	5.082	3.068
AC114678.1	0	0	0	0	0	0	0	0
AC114916.1	0	0	0	0	0	0	0	0
AC115034.1	0	0	0	0	0	0	0	0
AC115037.1	7	11	9	11	17	17	22	19
AC115047.1	0	0	0	0	0	0	0	0
AC115047.2	0	0	0	0	0	0	0	0
AC115122.1	0	0	0.986	0	4.19	0	5.845	1
AC115289.1	0	0	0	0	0	0	0	0
AC115289.2	2	0	0	0	0	0	0	2
AC115291.1	0	0	0	0	0	0	0	0
AC115291.2	1.034	2.087	1.031	0	0	4.199	1.031	0
AC115304.1	3	1	0	0	0	0	0	0
AC115304.2	1	0	0	0	0	0	0	1
AC115357.1	0	0	0	0	0	0	0	0
AC115735.1	0	0	0	1.089	0	0	0	1.109
AC115735.2	0	0	0	0	2	0	1	0
AC115735.3	1	3	0	0	0	1	0	0
AC115735.4	0	0	0	0	0	0	0	0
AC115735.5	0	0	2	0	0	0	0	0
AC115744.1	1.369	0	1.154	3.907	0	0	0	2.211
AC115746.1	2	2	0	0	0	0	0	1
AC115750.1	0	0	0	0	0	0	0	0
AC115760.1	0	0	0	0	0	0	0	0
AC115784.1	0	0	0	0	0	0	0	0
AC115793.1	0	0	0	0	0	0	0	0
AC115863.1	0	0	0	0	0	0	0	0
AC115878.1	0	0	0	0	0	0	0	0
AC115891.1	0	0	0	0	0	0	0	0
AC115891.2	0	0	0	0	0	0	0	0
AC115891.3	1.792	0	0	2.539	2.973	0	0	0
AC115910.1	1	0	1	0	1	0	1	0
AC115970.1	0	0	0	0	0	0	0	0
AC116319.1	0	0	0	0	0	0	0	0
AC116319.2	0	0	0	0	0	0	0	0
AC116390.1	0	0	0	0	0	0	0	0
AC116395.1	0	0	0	0	0	0	0	0
AC116460.1	0	0	0	0	0	0	0	0
AC116465.1	0	0	0	0	0	0	0	0
AC116476.1	0	0	0	0	0	0	0	0
AC116487.1	1.046	0	0	0	1.1	0	0	0
AC116502.1	6.041	9.002	10.003	4.001	5.001	11.076	6.001	11.004
AC116503.1	0	0	0	0	0	0	0	0
AC116557.1	0	0	0	1	2	0	2	0
AC116589.1	0	0	0	0	0	0	0	0
AC116589.2	0	0	2	0	0	0	0	2
AC116589.3	0	0	0	0	0	0	0	0
AC116589.4	0	0	0	0	0	0	0	0
AC116589.5	0	0	0	0	0	0	0	0
AC116589.7	0	0	0	0	0	0	0	0
AC116589.8	0	0	0	0	0	0	0	0
AC116589.9	0	0	0	0	0	0	0	0
AC116591.1	0	0	0	0	0	0	0	0
AC116596.1	0	0	0	0	2	0	0	0
AC116596.2	0	0	0	0	0	0	0	0
AC116656.1	0	0	0	0	0	0	1	0
AC116680.1	0	0	0	0	0	0	0	0
AC116713.1	1	0	3	0	3	1	0	0
AC116724.1	0	0	0	0	0	0	0	0
AC116726.1	316.914	242.164	475.004	481.724	259.33	198.069	520.83	420.95
AC116726.2	35.542	44.706	87.574	96.527	41.216	74.643	134.055	105.727
AC116797.1	0	0	0	0	0	0	0	0
AC116797.2	0	0	0	0	0	0	0	0
AC116950.1	0	0	1	0	0	0	0	0
AC117194.1	0	0	0	0	0	0	0	0
AC117198.1	0	0	0	0	0	0	0	0
AC117199.1	0	0	0	0	0	0	0	0
AC117202.1	0	0	0	0	0	0	0	0
AC117202.2	0	0	0	0	0	0	0	0
AC117202.3	0	0	0	0	0	0	0	0
AC117226.1	0	1	0	0	0	0	0	0
AC117232.1	0	0	2.317	0	0	0	0	0
AC117232.2	0	0	1.001	0	0	0	1.1	0
AC117237.1	0	0	0	0	0	0	0	0
AC117240.1	0	0	0	0	0	0	0	0
AC117240.2	0	0	0	0	0	0	0	0
AC117245.1	0	0	0	0	0	1	3	0
AC117245.2	0	0	0	0	0	0	0	0
AC117245.3	0	1	1	0	0	0	0	2
AC117245.4	1.004	1.011	2.008	7.022	6.104	0	1.023	0
AC117570.1	0	0	0	0	0	0	0	0
AC117588.1	18.214	13.715	25.644	18.858	22.562	47.823	35.272	39.578
AC117588.2	0	0	0	0	0	0	0	0
AC117588.3	0	0	0	0	0	0	0	0
AC117608.1	0	0	0	0	0	0	0	0
AC117608.2	0	0	0	0	0	0	0	0
AC117648.1	0	0	1	0	0	0	0	0
AC117656.1	0	0	0	0	1.238	0	1.122	0
AC117656.2	0	1	0	0	0	0	0	0
AC117656.3	0	0	0	0	0	0	0	0
AC117688.1	0	0	0	1	0	0	0	0
AC117769.1	0	1	0	0	0	0	0	0
AC117769.2	0	0	0	0	0	0	0	0
AC117769.3	0	1.013	1.012	0	1.013	0	0	1.011
AC117769.4	0	0	0	0	0	0	0	0
AC117797.1	1	2	1	3	1	2	0	0
AC117797.2	0	0	0	0	0	0	0	0
AC117814.1	0	0	0	0	0	0	0	0
AC117949.1	1.078	3.343	3.364	0	4.497	1.117	5.721	4.489
AC117949.2	0	0	0	0	0	0	0	0
AC118006.1	0	0	0	0	0	0	0	0
AC118006.2	0	0	0	0	0	0	0	0
AC118006.3	0	0	0	0	0	0	0	0
AC118222.1	0	0	0	2.006	1	0	0	0
AC118230.1	0	0	0	0	0	0	0	0
AC118249.1	0	0	0	0	0	0	0	0
AC118250.1	0	0	0	0	0	0	0	0
AC118250.2	0	0	0	0	0	0	0	0
AC118476.1	0	0	0	0	0	0	0	0
AC118476.2	0	1	0	0	0	1	0	0
AC118476.3	0	0	0	0	0	0	0	0
AC118476.4	0	0	0	0	0	0	0	0
AC118639.1	0	3.421	1.139	0	0	4	0	6
AC118639.2	0	0	0	0	1	0	0	0
AC118733.1	0	1	0	0	0	0	0	1
AC118750.1	0	0	0	0	0	0	0	0
AC119177.1	0	0	0	0	0	0	0	0
AC119177.2	0	0	0	0	0	0	0	0
AC119241.1	0	0	0	0	0	0	0	0
AC119573.1	0	0	0	0	0	0	0	0
AC119892.1	0	0	0	0	0	0	0	0
AC119894.1	0	0	0	0	0	0	0	0
AC119987.1	0	0	0	0	0	0	0	0
AC120002.1	1	0	0	0	0	0	0	0
AC120002.2	14	10	4	12	11	14	16	9
AC120011.1	0	0	0	0	0	0	0	0
AC120153.1	1	0	0	2.004	2	0	0	2
AC120163.1	0	0	0	0	0	0	1	0
AC120347.1	0	0	0	0	0	0	0	1
AC120347.2	1	0	0	0	0	0	0	0
AC120375.1	0	1	5	5.041	2.049	1.009	2.008	0
AC120375.2	0	3	0	0	0	0	1	1
AC120383.1	0	0	0	0	0	0	0	0
AC120386.1	0	0	0	0	0	0	1	0
AC120394.1	1	0	1	1	2	2	0	0
AC120394.2	0	0	0	1	0	0	0	0
AC120406.1	4.035	3.996	4.004	1.231	8.227	5.422	2.627	1.231
AC120425.1	0	0	0	0	2	0	1	0
AC120540.1	0	0	0	0	0	0	0	1
AC120540.2	0	1	0	0	0	0	0	0
AC120553.1	0	0	0	0	0	0	0	1
AC120555.1	0	0	0	0	0	0	0	0
AC121094.1	0	1	0	1	2	0	4	0
AC121114.1	0	0	0	0	1	0	1	0
AC121137.1	0	0	0	0	0	0	0	0
AC121264.1	0	0	0	0	0	0	0	0
AC121286.1	0	0	0	0	0	0	0	0
AC121286.2	0	0	0	0	0	0	0	0
AC121357.1	9.552	10.584	8.275	2.112	9.451	8.48	10.162	4.224
AC121504.1	0	0	0	0	0	0	0	0
AC121542.1	0	0	0	0	0	0	0	0
AC121542.2	0	0	0	0	0	0	0	0
AC121567.1	1364.064	916.625	2098.461	1833.618	4144.53	1505.629	5272.858	1936.01
AC121569.1	19.541	112.662	175.988	42.28	62.077	110.768	60.213	52.88
AC121569.2	0	0	0	0	0	0	0	0
AC121574.1	1	0	0	0	0	0	0	0
AC121577.1	1	0	1.075	0	0	0	0	0
AC121598.1	0	0	0	0	0	0	0	0
AC121598.2	2	1	8	2	0	1.079	2	3
AC121598.3	4.589	0	0	4.867	3	0	1	1
AC121599.1	5	0	1	0	2	0	0	0
AC121788.1	0	0	0	0	0	0	0	0
AC121788.2	0	0	0	0	0	0	0	0
AC121793.1	1.052	0	0	0	0	0	0	0
AC121793.2	0	0	0	0	0	0	0	0
AC121801.1	5.643	2.413	7.046	5.544	6.389	4.311	6.445	0
AC121804.1	0	0	0	0	0	0	0	0
AC121804.2	0	0	0	0	0	0	0	0
AC121804.3	0	0	0	0	0	1	0	0
AC121805.1	0	0	0	0	0	0	0	0
AC121805.2	1.692	3.192	4.783	2.007	0	0	1.002	0
AC121821.1	1	0	1	0	0	0	0	0
AC121844.1	0	0	0	0	0	0	0	0
AC121844.2	0	0	0	0	0	1	0	0
AC121844.3	0	0	1.13	0	1	0	0	0
AC121860.1	0	0	0	0	0	0	0	0
AC121870.1	0	0	0	0	0	0	0	0
AC121870.2	0	0	0	0	0	0	0	0
AC121898.1	0	0	0	0	0	0	0	0
AC121912.1	0	0	0	0	0	0	0	0
AC121942.1	0	0	0	0	0	0	0	0
AC121942.2	0	1.394	2.154	0	0	0	1.052	0
AC121942.3	0	0	0	0	0	0	0	0
AC121947.1	0	0	0	0	0	0	0	0
AC121960.1	0	0	0	0	0	0	0	0
AC121960.2	1	5	0	0	0	0	0	0
AC121960.3	0	0	0	0	0	0	0	0
AC121961.1	6.02	3.02	2.007	0	2.004	0.949	2.109	1.003
AC121965.1	1614.118	1618.505	2474.834	1365.579	1964.575	1769.368	1742.375	1696.304
AC121966.1	0	0	0	0	0	0	0	0
AC121978.1	0	0	0	0	0	0	0	0
AC121986.1	0	0	0	0	0	0	0	0
AC121997.1	2.334	4.422	2.187	2.341	4.581	2.182	1.104	3.632
AC121997.2	0	0	2	0	0	0	0	0
AC122018.1	1	0	0	0	3	0	6	0
AC122024.1	0	0	0	1.311	2	0	1	2.67
AC122024.2	20.887	5	6.95	6.206	11.719	0	4	2.179
AC122024.3	0	0	0	2	0	2	0	1
AC122034.1	0	0	0	0	0	0	0	0
AC122035.1	0	1	0	5	1	0	0	0
AC122035.2	1	2	1	2	2	1	1	0
AC122188.1	0	0	0	0	0	0	0	0
AC122194.1	0	0	0	0	0	0	0	0
AC122197.1	11	5	17	5	5	3	6	4
AC122197.2	0	0	0	0	0	0	0	0
AC122210.1	0	0	0	0	0	0	0	0
AC122210.2	0	0	0	0	0	0	0	0
AC122225.1	0	0	0	0	0	0	0	0
AC122228.1	0	1.255	0	0	1.394	0	0	0
AC122242.1	1	1	1	0	2.001	1	2	0
AC122251.1	0	0	1.031	0	0	0	0	0
AC122251.2	0	0	0	0	0	0	0	0
AC122263.1	0	0	0	0	0	0	0	0
AC122263.2	0	0	0	0	0	0	0	0
AC122273.1	97.783	70.742	83.782	106.843	95.575	98.227	136.898	124.825
AC122290.1	0	0	0	0	0	0	0	0
AC122291.1	3.235	2.106	5.054	5.097	2.079	1.009	5.689	4.12
AC122293.1	0	0	0	0	0	0	0	0
AC122295.1	0	0	0	0	0	0	0	0
AC122298.1	0	0	0	0	0	0	0	0
AC122301.1	0	0	0	0	0	0	0	0
AC122301.2	1.078	0	0	2	0	0	0	0
AC122301.3	0	0	0	0	0	0	0	0
AC122305.1	39.45	39.143	78.344	51.032	83.456	72.366	37.426	76.127
AC122305.2	0	0	0	0	0	0	0	0
AC122305.3	0	0	0	0	0	0	0	0
AC122305.4	0	0	0	0	0	0	1	0
AC122309.1	0	0	0	0	0	0	0	0
AC122314.1	4.021	1	5.324	4	1.717	2	5.789	0
AC122317.1	0	0	0	0	0	0	0	0
AC122317.2	0	0	0	0	1.018	0	0	0
AC122317.3	0	0	0	0	0	0	0	0
AC122320.1	0	0	0	0	0	0	0	0
AC122327.1	0	0	0	0	0	0	0	0
AC122327.2	0	0	0	0	0	0	0	0
AC122327.4	0	0	1.084	0	0	0	0	0
AC122332.1	0	0	0	0	0	0	0	0
AC122335.1	0	0	0	0	0	0	0	0
AC122335.2	3.213	5.606	5.699	2.159	0	0	1.202	4.437
AC122341.1	0	0	0	2	0	0	0	0
AC122346.1	0	1	1	0	2	0	7	0
AC122346.2	1	0	0	1	1	0	0	0
AC122346.3	0	0	0	0	0	0	0	0
AC122350.1	3.009	3.01	5.017	1.003	10.044	4.015	10.038	2.005
AC122351.1	0	1.087	0	0	0	0	0	0
AC122354.1	0	0	0	0	0	0	0	0
AC122355.1	0	0	0	1.003	0	1.005	0	0
AC122356.1	0	0	0	0	0	0	0	0
AC122356.2	0	0	0	0	0	0	0	0
AC122357.1	0	3.78	2.098	0	3.312	1.14	2.07	2.68
AC122357.2	1	0	2	0	0	0	1	0
AC122357.3	5	8	10	4	8	7	5.003	8
AC122360.1	0	0	0	0	0	0	0	0
AC122367.1	1	0	0	0	1	0	2	0
AC122367.2	0	0	0	0	0	0	0	0
AC122371.1	0	0	0	0	0	0	0	0
AC122371.2	0	0	0	0	0	0	0	0
AC122371.3	0	0	0	0	0	0	0	0
AC122372.1	1	0	0	0	0	0	0	0
AC122379.1	0	0	0	0	0	0	0	0
AC122382.1	0	0	0	0	0	0	0	0
AC122382.2	0	0	0	0	0	0	0	0
AC122393.1	0	0	0	0	0	0	0	0
AC122393.2	0	0	0	0	0	0	0	0
AC122393.3	0	0	0	0	0	0	0	0
AC122395.1	1	1	0	0	1.017	0	0	0
AC122397.1	66.488	131.846	133.66	180.752	42.476	139.264	68.171	169.869
AC122397.2	16	3	25	10	9	6	7	5
AC122397.3	2	0	0	0	0	0	0	3
AC122402.1	0	0	0	0	0	0	0	0
AC122408.1	0	0	0	0	1	0	0	0
AC122408.2	0	1	0	0	0	0	0	0
AC122418.1	0	0	1	0	0	0	0	0
AC122426.1	2	0	1	0	0	1	1	0
AC122426.2	1	0	1	6	0	0	1	0
AC122428.1	1	1	2	0	0	1	0	0
AC122428.2	0	0	80.246	71.854	185.418	60	237.733	65.009
AC122428.3	9.521	4.047	1.642	2.055	8.857	8.817	8.426	14.983
AC122428.4	0	0	0	0	0	0	0	0
AC122448.1	1	0	3	1	2	1	0	2
AC122459.1	1.074	0	0	0	1.075	2.191	2.221	3.319
AC122459.2	0	0	0	1	0	0	0	0
AC122459.3	0	0	0	0	0	0	0	0
AC122459.4	1	0	1	0	1	0	2	1
AC122463.1	0	0	0	0	0	1.123	0	0
AC122465.1	0	0	1.002	0	0	0	0	0
AC122465.2	0	0	0	0	0	0	0	0
AC122465.3	0	0	0	0	0	0	0	0
AC122484.1	0	0	0	0	0	0	0	0
AC122486.1	0	0	0	0	0	0	0	0
AC122508.1	0	0	0	0	0	0	0	0
AC122533.1	0	0	0	0	0	0	0	0
AC122533.2	0	0	0	0	0	0	0	0
AC122539.1	2	0	2.468	0	0	0	0	0
AC122539.2	0	0	0	0	0	1	0	2
AC122539.3	25.322	25.597	46.615	27.805	28.069	36.911	32.362	24.709
AC122546.1	0	0	0	0	0	0	0	0
AC122769.1	0	0	0	0	0	0	0	0
AC122769.2	0	2	0	0	0	3	0	0
AC122769.3	1.052	0	1	1.097	1	1	0.965	1
AC122769.4	1	1	0	0	0	0	0	0
AC122774.1	0	0	0	0	0	0	0	1
AC122811.1	2	1	1	0	0	1	0	2
AC122821.1	3	1	0	2	1	2	1	1
AC122824.1	0	2	4	1	3.741	0	1.86	0
AC122828.1	0	1.28	0	0	1.132	1.204	2.559	2.433
AC122828.2	2	0	1	2	1	2	0	2
AC122828.3	1	1	3	1	0	5	3	2
AC122829.1	0	0	0	0	0	0	0	0
AC122834.1	0	0	0	0	0	0	0	0
AC122840.1	1	2.051	8.605	5	1	6.003	4.003	7.011
AC122840.2	0	0	0	3.546	0	0	1	3
AC122840.3	0.934	0	0	0	0	0	0	0
AC122840.4	0	0	0	0	0	0	0	0
AC122844.1	0	0	0	0	0	0	0	1.316
AC122850.1	1.032	0	3.397	6.228	0	0	0	0
AC122858.1	0	0	0	0	0	0	0	0
AC122858.2	18.923	6.242	26.941	27.34	15.732	31.972	20.047	32.801
AC122858.3	0	0	0	0	0	0	0	0
AC122860.1	0	0	0	0	0	0	0	0
AC122860.2	0	1	0	0	0	1	3	4
AC122876.1	0	0	1	0	0	0	0	1
AC122877.1	0	0	0	0	0	0	0	0
AC122878.1	0	0	0	0	0	0	0	0
AC122881.1	1	0	0	0	0	1	0	2
AC122887.1	0	0	0	0	0	0	0	0
AC122887.2	0	0	0	0	0	0	0	0
AC122891.1	0	0	0	0	0	0	0	0
AC122901.1	0	0	0	0	0	1.051	0	0
AC122901.2	0	0	0	0	0	0	0	0
AC122905.1	0	0	0	0	0	0	0	0
AC122905.2	0	0	0	0	0	0	0	1
AC122924.1	1.002	0	0	0	0	0	0	1.002
AC122924.2	0	0	0	0	0	0	0	0
AC122937.1	0	0	0	0	0	0	0	0
AC122937.2	0	0	0	0	0	0	0	0
AC122937.3	132.122	132.083	190.636	117.342	212.119	154.592	247.929	234.846
AC123035.1	0	0	0	0	0	0	0	0
AC123043.1	0	0	0	0	0	0	0	0
AC123052.1	1	2	4.774	3	3.783	1.252	3	2.558
AC123058.1	0	0	0	0	0	0	0	0
AC123061.1	13.78	8.536	16.728	16.875	12.983	23.965	23.44	22.827
AC123061.2	7.102	4.048	8.113	9.127	7.088	8.125	1.009	13.186
AC123062.1	0	0	0	0	0	0	0	0
AC123064.1	2	1	0	2	1	0	2	0
AC123064.2	0	0	0	0	0	0	0	0
AC123067.1	0	0	0	0	0	0	0	0
AC123069.1	0	0	0	0	0	0	0	0
AC123533.1	0	0	0	0	0	0	0	0
AC123533.2	0	0	0	0	0	0	0	0
AC123533.3	0	0	0	0	0	0	1	0
AC123534.1	4.441	4.965	5.275	0	0	5.645	5.619	10.763
AC123618.1	0	0	0	0	0	0	0	0
AC123619.1	0	0	0	0	1	0	0	1
AC123619.2	1	0	1	0	0	1	4	1
AC123629.1	1	0	1	1	0	0	0	0
AC123645.1	0	0	0	0	0	0	0	0
AC123656.1	0	2	1	0	0	1	1	0
AC123656.2	1	0	0	0	0	0	0	0
AC123658.1	0	0	0	0	0	0	0	0
AC123665.1	0	0	0	0	0	0	0	0
AC123665.2	0	1	1.078	0	0	0	0	0
AC123665.3	1	3	1	0	0	0	0	0
AC123665.4	0	1	0	2	1	1	0	0
AC123665.5	0	0	1.005	0	0	0	0	0
AC123665.6	0	0	0	0	0	0	0	1.376
AC123692.1	0	0	0	0	0	0	0	0
AC123692.2	0	0	1.077	1	0	0	1	0
AC123694.1	0	0	0	0	0	0	0	0
AC123698.1	0	0	0	0	0	0	0	0
AC123705.1	0	0	0	0	0	0	0	0
AC123705.2	0	0	0	0	0	0	0	0
AC123705.3	1	0	3	0	0	0	0	0
AC123705.4	0	0	0	0	0	0	1	0
AC123709.1	2	1	1	1	0	1	2	1
AC123731.1	0	0	0	0	0	0	0	0
AC123735.1	0	0	0	0	0	0	0	0
AC123738.1	12	9	15	21	2	1	8	3
AC123738.2	18.711	24.392	26.79	32.392	2.278	34.287	0	61.692
AC123803.1	0	0	1.002	0	0	0.994	0.994	0
AC123830.1	0	0	0	0	0	0	0	0
AC123832.1	1	0	1	0	0	0	1	0
AC123832.2	120.601	138.688	386.381	120.921	122.254	189.218	83.502	210.554
AC123834.1	2	4	2	3	5	0	7	0
AC123834.2	68.697	52.056	109.097	71.294	24.195	24.111	41.945	52.466
AC123835.1	0	0	0	0	0	0	0	0
AC123842.1	0	0	0	0	0	0	0	0
AC123857.1	0	1	1.032	1	0	0	2.032	0
AC123857.2	3.03	0	0	2.02	1.007	0	0	1.008
AC123858.1	0	0	0	0	0	0	0	0
AC123860.1	0	0	0	0	0	0	0	0
AC123867.1	0	0	0	0	0	0	0	0
AC123917.1	0	0	0	0	0	0	0	0
AC123920.1	1.842	2.933	7.513	2.933	10.923	4.475	5.615	7.495
AC123935.1	12.601	17.522	22.552	11.038	31.361	10.297	31.132	10.569
AC123944.1	0	0	0	0	0	0	0	0
AC123944.2	0	0	0	0	0	0	0	0
AC123954.1	104.21	63.656	119.77	72.596	94.897	118.542	119.062	93.91
AC124103.1	0	0	0	0	0	0	0	0
AC124104.1	2.002	2.002	1	0	3.002	0	0	1.001
AC124171.1	0	0	0	0	0	0	0	0
AC124173.1	0	0	0	0	0	0	0	0
AC124182.1	0	0	0	0	0	0	0	0
AC124183.1	0	0	0	0	0	0	0	0
AC124184.1	0	0	0	0	0	0	0	0
AC124193.1	0	0	0	0.493	0	0	0	0
AC124196.1	1.462	0	0	0	0	0	0	0
AC124196.2	0	0	0	0	0	0	0	0
AC124346.1	0	0	0	0	0	0	0	0
AC124346.2	0	0	0	0	2	0	0	1
AC124356.1	0	0	0	0	0	0	0	0
AC124356.2	0	0	0	0	0	0	0	0
AC124392.1	192.761	200.315	115.664	115.923	260.183	158.267	401.208	107.183
AC124395.1	0	0	0	0	0	0	0	0
AC124397.1	0	0	0	0	0	1	0	0
AC124397.2	0	0	1	0	0	0	0	2
AC124399.1	0	0	0	0	2	0	0	0
AC124400.1	0	0	0	0	0	0	0	0
AC124400.2	0	0	0	0	0	0	0	0
AC124408.1	0	0	0	0	0	0	0	0
AC124408.2	0	0	0	0	0	0	0	0
AC124414.1	6.031	3.015	12.044	7.013	2.006	14.02	3.009	8.043
AC124420.1	2.035	1.138	3.545	1.015	5.522	2.036	6.13	0
AC124421.1	37.765	46.051	166.539	59.607	26.661	100.362	29.332	134.821
AC124426.1	121.377	75.747	207.848	120.136	55.909	163.664	86.473	251.63
AC124426.2	7.812	11.491	1.946	2.065	8.224	2.323	4.577	5.14
AC124433.1	1	5.136	7.22	1	9	1.04	9.137	14.371
AC124433.2	0	1	1	0	2	0	0	0
AC124436.1	1	0	2.96	1	2	0	2	0
AC124445.1	0	0	0	0	0	0	0	0
AC124446.1	0	0	0	0	0	0	1	0
AC124450.1	0	0	0	0	0	0	0	0
AC124456.1	0	0	0	0	0	0	0	0
AC124457.1	1	0	2	5.001	1	4	1	2
AC124465.1	0	0	0	0	0	0	0	0
AC124484.1	0	0	0	0	34.177	9.633	0	0
AC124489.1	0	0	0	0	0	0	0	0
AC124489.2	1	0	0	0	0	0	0	0
AC124489.3	0	0	0	0	0	0	0	0
AC124503.1	0	0	0	0	0	0	0	0
AC124510.1	0	0	0	0	0	0	0	0
